공고번호,추정가격,지역제한,종목,특수실적,계약방법,적격평가세부기준,입력일
R26BK01313222-000,44400000,"경북,영천시",전기,,수의,,2026-02-03
R26BK01307851-000,147900000,"경남,창원시",통신,,수의,,2026-02-03
R26BK01312575-000,133594546,대전,전기,,수의,,2026-02-03
R26BK01314119-001,50327273,"충북,청주시",통신,,수의,,2026-02-03
R26BK01312096-000,102863636,부산,지반조성포장,,수의,,2026-02-03
R26BK01308601-000,181818182,"경기,용인시",지반조성포장,,수의,,2026-02-03
R26BK01308678-000,181818182,"경기,용인시",지반조성포장,,수의,,2026-02-03
R26BK01308842-000,110000000,"경기,용인시",지반조성포장,,수의,,2026-02-03
R26BK01314465-000,45454546,대구,금속창호지붕,,수의,,2026-02-03
R26BK01314317-000,45320909,대구,조경식재시설물,,수의,,2026-02-03
R26BK01313618-000,90470000,"인천,계양구/인천,부평구/인천,남동구/인천,동구/인천,서구/인천,연수구/인천,중구/인천,미추홀구",상하수도,장비[하수관로준설차량],수의,,2026-02-03
R26BK01313206-000,113818182,"경기,김포시",지반조성포장,,수의,,2026-02-03
R26BK01313886-000,90840000,"인천,계양구/인천,부평구/인천,남동구/인천,동구/인천,서구/인천,연수구/인천,중구/인천,미추홀구",상하수도,장비[하수관로준설차량],수의,,2026-02-03
R26BK01307793-000,144085855,광주광역시,상하수도,,수의,,2026-02-03
R26BK01311911-000,185857600,광주광역시,상하수도,,수의,,2026-02-03
R26BK01314362-000,35214546,대구,조경식재시설물,,수의,,2026-02-03
R26BK01314190-000,65392727,"경기,오산시",조경식재시설물,,수의,,2026-02-03
R26BK01314138-000,49415460,"경기,오산시",조경식재시설물,,수의,,2026-02-03
R26BK01311588-000,90000000,"전북,전주시",금속창호지붕,,수의,,2026-02-03
R26BK01311670-000,90000000,"전북,전주시",지반조성포장,,수의,,2026-02-03
R26BK01311646-000,90000000,"전북,전주시",지반조성포장,,수의,,2026-02-03
R26BK01314225-000,118181818,대구,조경식재시설물,,수의,,2026-02-03
R26BK01307069-000,55890000,"경남,창원시",비계구조,,수의,,2026-02-03
R26BK01313186-000,67650000,서울,실내건축,,수의,,2026-02-03
R26BK01314256-000,26781818,"충북,청주시",기계가스설비,,수의,,2026-02-03
R26BK01312263-000,74718182,"경기,김포시",도장습식방수석공,,수의,,2026-02-03
R26BK01313526-000,109600000,"경남,합천군",도장습식방수석공,,수의,,2026-02-03
R26BK01314149-000,40061000,서울,금속창호지붕,,수의,,2026-02-03
R26BK01312753-000,823832672,대구,상하수도,,적격심사,행자부_별표-5,2026-02-03
R26BK01313300-000,847548556,대구,상하수도,,적격심사,행자부_별표-5,2026-02-03
R26BK01313064-000,217260000,광주광역시,도장습식방수석공,,적격심사,행자부_별표-6,2026-02-03
R26BK01312678-000,164290974,경기,기계가스설비,,적격심사,조달청_별표-5,2026-02-03
R26BK01312328-000,315970000,경기,철콘,,적격심사,행자부_별표-6,2026-02-03
R26BK01314424-000,63827273,서울,전기,,수의,,2026-02-03
R26BK01314279-000,113280000,"경기,안성시",조경식재시설물,,수의,,2026-02-03
R26BK01313130-000,229129091,서울,조경식재시설물,,적격심사,행자부_별표-6,2026-02-03
R26BK01308805-000,271943636,전북,비계구조,,적격심사,행자부_별표-6,2026-02-03
R26BK01311660-000,26010000,"경남,거제시",전기,,수의,,2026-02-03
R26BK01311772-000,34254000,"경남,거제시",지반조성포장,,수의,,2026-02-03
R26BK01313210-000,264563355,광주광역시,상하수도,,적격심사,행자부_별표-6,2026-02-03
R26BK01311629-000,2301487273,전국/부산,전기,,적격심사,행자부_별표-4,2026-02-03
R26BK01305815-000,897476364,부산,통신,,적격심사,행자부_별표-5,2026-02-03
R26BK01312218-000,542210000,경기,전기,,적격심사,조달청_별표-2,2026-02-03
R26BK01300169-000,2177310000,전국/부산,전기,,적격심사,행자부_별표-4,2026-02-03
R26BK01310321-000,120328182,제주,전기,,수의,,2026-02-04
2026-00494,11226364,"강원,고성군",전기,,수의,,2026-02-04
E012600650,85972047,전국,전기,특허[엘보분리장치],수의,,2026-02-04
E012600637,36774146,전국,전기,장비[오수처리및온도],수의,,2026-02-04
E012600638,31475246,전국,전기,특허[엘보분리장치],수의,,2026-02-04
R26BK01314492-000,114401391,"경기,성남시",전기,,수의,,2026-02-04
R26BK01314558-000,119785027,"경기,성남시",전기,,수의,,2026-02-04
R26BK01315465-000,37866364,경북,전기,"소기업,특수실적",수의,,2026-02-04
R26BK01315298-000,44068182,대전/충북/충남/세종,전기,"소기업,특수실적",수의,,2026-02-04
R26BK01314955-000,21967437,"강원,평창군",전기,,수의,,2026-02-04
R26BK01316191-000,37518947,"강원,평창군",전기,,수의,,2026-02-04
R26BK01314912-000,25469567,"강원,평창군",전기,,수의,,2026-02-04
R26BK01312932-000,93072727,"경북,예천군",전기,,수의,,2026-02-04
